Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,grab
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,fall
Would you like to follow or explore?,explore
Do you want to enter the Wonder Land?,Yes
Would you like to grab something or let yourself fall?,grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?,yes
Do you want to enter the Wonder Land?,yes
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?,Yes
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?        ,Yes
Would you like to grab something or let yourself fall?,Grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?        ,yes
Would you like to grab something or let yourself fall?,grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?        ,yes
Would you like to grab something or let yourself fall?,fall
Would you like to follow or explore?,explore
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,fall
Would you like to follow or explore?,explore
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,grab
Would you like to go this way or that way?,this
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,fall
Would you like to follow or explore?,explore
Do you want to enter the Wonder Land?,yes
Would you like to grab something or let yourself fall?,fall
Would you like to follow or explore?,follow
Would you like to gloves or cookies?,cookies
